Condition,Rate
Normal,52
Normal,50
Normal,50
Normal,52
Normal,48
Normal,57
Normal,56
Normal,54
Normal,54
Normal,56
Normal,54
Normal,55
Normal,57
Normal,68
Normal,67
Normal,51
Normal,58
Normal,66
Normal,58
Normal,52
Normal,59
Normal,106
Normal,107
Normal,56
Normal,56
Normal,55
Normal,55
Normal,54
Normal,53
Normal,50
Normal,66
Normal,60
Normal,57
Normal,55
Normal,55
Normal,52
Normal,50
Normal,53
Normal,47
Normal,50
Normal,52
Normal,52
Normal,51
Normal,79
Normal,141
Normal,78
Normal,62
Normal,123
Normal,65
Normal,57
Normal,58
Normal,53
Normal,54
Normal,53
Normal,52
Normal,51
Normal,52
Normal,55
Normal,55
Normal,62
Normal,53
Normal,61
Normal,53
Normal,53
Normal,67
Normal,108
Normal,51
Normal,50
Normal,52
Normal,52
Normal,52
Normal,55
Normal,54
Normal,55
Normal,52
Normal,52
Normal,53
Normal,48
Normal,50
Normal,56
Normal,56
Normal,52
Normal,53
Normal,51
Normal,52
Normal,53
Normal,51
Normal,51
Normal,50
Normal,57
Normal,54
Normal,77
Normal,65
Normal,74
Normal,74
Normal,76
Normal,89
Normal,84
Normal,68
Normal,61
Normal,66
Normal,68
Normal,60
Normal,58
Normal,63
Normal,66
Normal,65
Normal,61
Normal,64
Normal,65
Normal,64
Normal,63
Normal,60
Normal,65
Normal,57
Normal,56
Normal,53
Normal,56
Normal,61
Normal,62
Normal,62
Normal,60
Normal,63
Normal,62
Normal,63
Normal,64
Normal,65
Normal,64
Normal,63
Normal,63
Normal,62
Normal,64
Normal,62
Normal,61
Normal,59
Normal,58
Normal,59
Normal,56
Normal,51
Normal,49
Normal,57
Normal,53
Normal,56
Normal,56
Normal,54
Normal,67
Normal,54
Normal,48
Normal,48
Normal,49
Normal,49
Normal,49
Normal,49
Normal,51
Normal,66
Normal,50
Normal,45
Normal,55
Normal,47
Normal,51
Normal,50
Normal,47
Normal,51
Normal,48
Normal,50
Normal,47
Normal,46
Normal,46
Normal,52
Normal,49
Normal,47
Normal,47
Normal,46
Normal,46
Normal,46
Normal,43
Normal,44
Normal,44
Normal,44
Normal,54
Normal,45
Normal,42
Normal,46
Normal,52
Normal,48
Normal,47
Normal,48
Normal,45
Normal,50
Normal,49
Normal,47
Normal,48
Normal,47
Normal,49
Normal,46
Normal,47
Normal,46
Normal,46
Normal,47
Normal,46
Normal,47
Normal,46
Normal,46
Normal,52
Normal,48
Normal,50
Normal,46
Normal,49
Normal,46
Normal,47
Normal,51
Normal,46
Normal,48
Normal,47
Normal,44
Normal,44
Normal,49
Normal,44
Normal,45
Normal,45
Normal,47
Normal,49
Normal,47
Normal,51
Normal,53
Normal,53
Normal,47
Normal,47
Normal,46
Normal,47
Normal,47
Normal,49
Normal,48
Normal,44
Normal,46
Normal,47
Normal,44
Normal,45
Normal,45
Normal,45
Normal,47
Normal,47
Normal,52
Normal,46
Normal,51
Normal,53
Normal,50
Normal,52
Normal,53
Normal,56
Normal,52
Normal,64
Normal,54
Normal,52
Normal,76
Normal,57
Normal,60
Normal,60
Normal,58
Normal,54
Normal,63
Normal,67
Normal,67
Normal,70
Normal,65
Normal,57
Normal,56
Normal,58
Normal,68
Normal,68
Normal,66
Normal,70
Normal,75
Normal,63
Normal,61
Normal,60
Normal,63
Normal,67
Normal,76
Normal,73
Normal,61
Normal,60
Normal,61
Normal,60
Normal,64
Normal,61
Normal,63
Normal,62
Normal,52
Normal,57
Normal,58
Normal,61
Normal,57
Normal,57
Normal,57
Normal,55
Normal,58
Normal,58
Normal,62
Normal,57
Normal,57
Normal,60
Normal,52
Normal,53
Normal,52
Normal,53
Normal,58
Normal,75
Normal,79
Normal,56
Normal,57
Normal,58
Normal,71
Normal,65
Normal,64
Normal,61
Normal,61
Normal,59
Normal,60
Normal,64
Normal,65
Normal,64
Normal,65
Normal,64
Normal,63
Normal,66
Normal,64
Normal,64
Normal,67
Normal,67
Normal,66
Normal,61
Normal,61
Normal,61
Normal,63
Normal,62
Normal,62
Normal,63
Normal,61
Normal,71
Normal,58
Normal,62
Normal,65
Normal,62
Normal,59
Normal,59
Normal,70
Normal,71
Normal,62
Normal,60
Normal,58
Normal,59
Normal,60
Normal,60
Normal,59
Normal,58
Normal,59
Normal,54
Normal,60
Normal,56
Normal,58
Normal,56
Normal,61
Normal,59
Normal,58
Normal,59
Normal,63
Normal,68
Normal,63
Normal,63
Normal,61
Normal,73
Normal,65
Normal,63
Normal,60
Normal,64
Normal,62
Normal,61
Normal,63
Normal,66
Normal,68
Normal,68
Normal,65
Normal,67
Normal,66
Normal,81
Normal,86
Normal,99
Normal,79
Normal,72
Normal,73
Normal,89
Normal,75
Normal,73
Normal,62
Normal,62
Normal,61
Normal,64
Normal,64
Normal,66
Normal,62
Normal,60
Normal,61
Normal,60
Normal,69
Normal,62
Normal,60
Normal,61
Normal,73
Normal,65
Normal,68
Normal,76
Normal,79
Normal,92
Normal,76
Normal,78
Normal,82
Normal,67
Normal,82
Normal,73
Normal,71
Normal,71
Normal,75
Normal,67
Normal,80
Normal,83
Normal,74
Normal,69
Normal,72
Normal,71
Normal,63
Normal,64
Normal,68
Normal,62
Normal,67
Normal,85
Normal,82
Normal,98
Normal,95
Normal,72
Normal,69
Normal,68
Normal,65
Normal,66
Normal,63
Normal,62
Normal,56
Normal,58
Normal,67
Normal,60
Normal,55
Normal,58
Normal,61
Normal,55
Normal,55
Normal,54
Normal,53
Normal,53
Normal,53
Normal,53
Normal,53
Normal,53
Normal,53
Normal,54
Normal,54
Normal,54
Normal,54
Normal,54
Normal,58
Normal,59
Normal,56
Normal,56
Normal,58
Normal,55
Normal,56
Normal,55
Normal,56
Normal,51
Normal,51
Normal,51
Normal,51
Normal,52
Normal,52
Normal,56
Normal,56
Normal,54
Normal,55
Normal,57
Normal,57
Normal,56
Normal,55
Normal,55
Normal,53
Normal,53
Normal,51
Normal,51
Normal,52
Normal,52
Normal,56
Normal,53
Normal,50
Normal,51
Normal,50
Normal,50
Normal,52
Normal,50
Normal,55
Normal,55
Normal,58
Normal,57
Normal,54
Normal,54
Normal,51
Normal,50
Normal,49
Normal,48
Normal,48
Normal,47
Normal,49
Normal,47
Normal,49
Normal,51
Normal,50
Normal,49
Normal,53
Normal,55
Normal,54
Normal,55
Normal,52
Normal,50
Normal,56
Normal,47
Normal,47
Normal,52
Normal,50
Normal,48
Normal,49
Normal,65
Normal,58
Normal,57
Normal,59
Normal,84
Normal,71
Normal,87
Normal,94
Normal,86
Normal,59
Normal,64
Normal,61
Normal,60
Normal,62
Normal,66
Normal,62
Normal,62
Normal,60
Normal,60
Normal,63
Normal,61
Normal,62
Normal,61
Normal,59
Normal,59
Normal,63
Normal,65
Normal,62
Normal,61
Normal,63
Normal,62
Normal,60
Normal,59
Normal,61
Normal,60
Normal,60
Normal,62
Normal,55
Normal,57
Normal,57
Normal,57
Normal,54
Normal,54
Normal,57
Normal,56
Normal,57
Normal,59
Normal,72
Normal,54
Normal,53
Normal,53
Normal,54
Normal,57
Normal,58
Normal,57
Normal,57
Normal,54
Normal,56
Normal,55
Normal,55
Normal,56
Normal,54
Normal,56
Normal,77
Normal,61
Normal,89
Normal,56
Normal,57
Normal,58
Normal,63
Normal,60
Normal,54
Normal,54
Normal,54
Normal,57
Normal,57
Normal,56
Normal,57
Normal,57
Normal,58
Normal,63
Normal,58
Normal,63
Normal,63
Normal,61
Normal,62
Normal,78
Normal,59
Normal,60
Normal,61
Normal,57
Normal,54
Normal,54
Normal,54
Normal,55
Normal,55
Normal,58
Normal,73
Normal,58
Normal,56
Normal,55
Normal,57
Normal,55
Normal,54
Normal,55
Normal,56
Normal,53
Normal,55
Normal,56
Normal,55
Normal,54
Normal,54
Normal,55
Normal,53
Normal,55
Normal,63
Normal,58
Normal,58
Normal,55
Normal,53
Normal,54
Normal,54
Normal,55
Normal,57
Normal,57
Normal,58
Normal,56
Normal,66
Normal,69
Normal,59
Normal,59
Normal,58
Normal,57
Normal,61
Normal,73
Normal,87
Normal,88
Normal,80
Normal,83
Normal,87
Normal,87
Normal,78
Normal,71
Normal,68
Normal,63
Normal,58
Normal,55
Normal,58
Normal,61
Normal,69
Normal,70
Normal,59
Normal,61
Normal,68
Normal,91
Normal,60
Normal,60
Normal,59
Normal,64
Normal,65
Normal,68
Normal,75
Normal,57
Normal,58
Normal,56
Normal,58
Normal,58
Normal,58
Normal,59
Normal,71
Normal,65
Normal,66
Normal,60
Normal,58
Normal,57
Normal,59
Normal,59
Normal,54
Normal,53
Normal,54
Normal,55
Normal,55
Normal,60
Normal,59
Normal,57
Normal,55
Normal,55
Normal,55
Normal,55
Normal,54
Normal,55
Normal,55
Normal,56
Normal,57
Normal,52
Normal,53
Normal,59
Normal,59
Normal,59
Normal,58
Normal,59
Normal,57
Normal,59
Normal,68
Normal,58
Normal,58
Normal,59
Normal,57
Normal,63
Normal,58
Normal,56
Normal,55
Normal,55
Normal,54
Normal,56
Normal,54
Normal,52
Normal,51
Normal,51
Normal,53
Normal,50
Normal,54
Normal,54
Normal,51
Normal,53
Normal,52
Normal,51
Normal,51
Normal,53
Normal,53
Normal,52
Normal,51
Normal,52
Normal,51
Normal,47
Normal,51
Normal,48
Normal,53
Normal,53
Normal,49
Normal,49
Normal,53
Normal,54
Normal,53
Normal,51
Normal,49
Normal,49
Normal,50
Normal,52
Normal,52
Normal,63
Normal,59
Normal,62
Normal,75
Normal,90
Normal,84
Normal,78
Normal,75
Normal,61
Normal,60
Normal,56
Normal,54
Normal,57
Normal,59
Normal,59
Normal,61
Normal,58
Normal,58
Normal,62
Normal,63
Normal,60
Normal,59
Normal,58
Normal,61
Normal,66
Normal,67
Normal,64
Normal,64
Normal,63
Normal,66
Normal,71
Normal,72
Normal,76
Normal,89
Normal,104
Normal,82
Normal,78
Normal,77
Normal,72
Normal,63
Normal,64
Normal,63
Normal,59
Normal,69
Normal,74
Normal,54
Normal,58
Normal,59
Normal,62
Normal,58
Normal,59
Normal,60
Normal,59
Normal,54
Normal,55
Normal,60
Normal,57
Normal,56
Normal,53
Normal,59
Normal,54
Normal,63
Normal,63
Normal,57
Normal,58
Normal,82
Normal,96
Normal,93
Normal,88
Normal,82
Normal,69
Normal,87
Normal,80
Normal,60
Normal,60
Normal,60
Normal,54
Normal,59
Normal,58
Normal,59
Normal,61
Normal,59
Normal,49
Normal,55
Normal,65
Normal,50
Normal,54
Normal,56
Normal,57
Normal,58
Normal,65
Normal,63
Normal,58
Normal,64
Normal,60
Normal,71
Normal,68
Normal,73
Normal,69
Normal,62
Normal,64
Normal,72
Normal,65
Normal,62
Normal,66
Normal,65
Normal,62
Normal,59
Normal,63
Normal,63
Normal,62
Normal,62
Normal,66
Normal,66
Normal,66
Normal,71
Normal,64
Normal,63
Normal,67
Normal,65
Normal,62
Normal,61
Normal,68
Normal,65
Normal,64
Normal,70
Normal,67
Normal,60
Normal,57
Normal,62
Normal,65
Normal,66
Normal,67
Normal,65
Normal,61
Normal,65
Normal,63
Normal,64
Normal,64
Normal,64
Normal,62
Normal,68
Normal,70
Normal,65
Normal,63
Normal,64
Normal,72
Normal,91
Normal,84
Normal,71
Normal,59
Normal,61
Normal,60
Normal,60
Normal,63
Normal,64
Normal,62
Normal,65
Normal,68
Normal,68
Normal,68
Normal,68
Normal,66
Normal,65
Normal,66
Normal,87
Normal,104
Normal,110
Normal,106
Normal,80
Normal,71
Normal,72
Normal,73
Normal,79
Normal,71
Normal,72
Normal,67
Normal,69
Normal,68
Normal,69
Normal,78
Normal,90
Normal,89
Normal,66
Normal,71
Normal,67
Normal,67
Normal,67
Normal,72
Normal,70
Normal,72
Normal,75
Normal,72
Normal,85
Normal,104
Normal,91
Normal,86
Normal,68
Normal,61
Normal,61
Normal,62
Normal,58
Normal,59
Normal,60
Normal,60
Normal,59
Normal,60
Normal,57
Normal,67
Normal,88
Normal,102
Normal,82
Normal,70
Normal,74
Normal,67
Normal,60
Normal,58
Normal,60
Normal,65
Normal,61
Normal,59
Normal,60
Normal,58
Normal,59
Normal,61
Normal,61
Normal,64
Normal,55
Normal,57
Normal,59
Normal,58
Normal,55
Normal,61
Normal,57
Normal,54
Normal,56
Normal,58
Normal,57
Normal,57
Normal,57
Normal,60
Normal,60
Normal,61
Normal,59
Normal,66
Normal,70
Normal,66
Normal,62
Normal,62
Normal,59
Normal,56
Normal,55
Normal,54
Normal,54
Normal,55
Normal,56
Normal,55
Normal,54
Normal,54
Normal,57
Normal,58
Normal,59
Normal,61
Normal,59
Normal,53
Normal,53
Normal,51
Normal,53
Normal,52
Normal,53
Normal,53
Normal,53
Normal,52
Normal,53
Normal,54
Normal,61
Normal,58
Normal,59
Normal,58
Normal,59
Normal,56
Normal,56
Normal,57
Normal,54
Normal,51
Normal,56
Normal,52
Normal,52
Normal,52
Normal,51
Normal,52
Normal,53
Normal,53
Normal,53
Normal,62
Normal,52
Normal,57
Normal,55
Normal,57
Normal,52
Normal,53
Normal,51
Normal,54
Normal,53
Normal,50
Normal,50
Normal,49
Normal,54
Normal,56
Normal,55
Normal,53
Normal,53
Normal,52
Normal,56
Normal,54
Normal,52
Normal,56
Normal,64
Normal,74
Normal,70
Normal,68
Normal,74
Normal,67
Normal,58
Normal,64
Normal,79
Normal,109
Normal,81
Normal,66
Normal,80
Normal,66
Normal,65
Normal,67
Normal,66
Normal,62
Normal,67
Normal,71
Normal,71
Normal,66
Normal,71
Normal,69
Normal,64
Normal,70
Normal,56
Normal,62
Normal,60
Normal,66
Normal,63
Normal,63
Normal,55
Normal,52
Normal,49
Normal,57
Normal,48
Normal,48
Normal,48
Normal,65
Normal,71
Normal,62
Normal,57
Normal,69
Normal,72
Normal,65
Normal,62
Normal,63
Normal,64
Normal,66
Normal,87
Normal,77
Normal,57
Normal,59
Normal,58
Normal,59
Normal,58
Normal,61
Normal,60
Normal,58
Normal,73
Normal,73
Normal,71
Normal,88
Normal,79
Normal,80
Normal,77
Normal,85
Normal,80
Normal,75
Normal,72
Normal,67
Normal,67
Normal,61
Normal,60
Normal,58
Normal,57
Normal,62
Normal,61
Normal,74
Normal,86
Normal,71
Normal,79
Normal,82
Normal,82
Normal,80
Normal,67
Normal,60
Normal,69
Normal,80
Normal,78
Normal,76
Normal,74
Normal,72
Normal,77
Normal,78
Normal,74
Normal,53
Normal,60
Normal,67
Normal,69
Normal,73
Normal,71
Normal,74
Normal,70
Normal,71
Normal,69
Normal,68
Normal,65
Normal,65
Normal,72
Normal,88
Normal,114
Normal,81
Normal,65
Normal,64
Normal,66
Normal,64
Normal,58
Normal,56
Normal,64
Normal,60
Normal,59
Normal,65
Normal,60
Normal,64
Normal,62
Normal,61
Normal,60
Normal,60
Normal,64
Normal,65
Normal,70
Normal,67
Normal,70
Normal,68
Normal,69
Normal,66
Normal,74
Normal,70
Normal,75
Normal,80
Normal,72
Normal,70
Normal,72
Normal,69
Normal,70
Normal,80
Normal,78
Normal,74
Normal,72
Normal,69
Normal,77
Normal,72
Normal,71
Normal,76
Normal,74
Normal,75
Normal,73
Normal,77
Normal,73
Normal,74
Normal,75
Normal,75
Normal,81
Normal,82
Normal,83
Normal,92
Normal,64
Normal,68
Normal,84
Normal,91
Normal,88
Normal,76
Normal,74
Normal,77
Normal,81
Normal,91
Normal,69
Normal,70
Normal,75
Normal,68
Normal,67
Normal,67
Normal,67
Normal,68
Normal,66
Normal,71
Normal,75
Normal,68
Normal,71
Normal,65
Normal,62
Normal,60
Normal,59
Normal,59
Normal,60
Normal,59
Normal,60
Normal,60
Normal,62
Normal,61
Normal,61
Normal,62
Normal,61
Normal,63
Normal,63
Normal,61
Normal,61
Normal,59
Normal,56
Normal,56
Normal,57
Normal,57
Normal,57
Normal,57
Normal,60
Normal,57
Normal,62
Normal,59
Normal,60
Normal,58
Normal,58
Normal,58
Normal,55
Normal,55
Normal,55
Normal,54
Normal,55
Normal,54
Normal,54
Normal,53
Normal,53
Normal,53
Normal,52
Normal,55
Normal,52
Normal,54
Normal,50
Normal,54
Normal,55
Normal,54
Normal,54
Normal,56
Normal,58
Normal,52
Normal,52
Normal,54
Normal,55
Normal,53
Normal,54
Normal,53
Normal,52
Normal,66
Normal,57
Normal,52
Normal,51
Normal,51
Normal,48
Normal,51
Normal,52
Normal,50
Normal,50
Normal,49
Normal,54
Normal,51
Normal,54
Normal,55
Normal,61
Normal,61
Normal,62
Normal,78
Normal,80
Normal,87
Normal,86
Normal,83
Normal,92
Normal,59
Normal,74
Normal,79
Normal,64
Normal,62
Normal,63
Normal,74
Normal,75
Normal,91
Normal,75
Normal,59
Normal,58
Normal,63
Normal,59
Normal,65
Normal,62
Normal,68
Normal,66
Normal,65
Normal,64
Normal,63
Normal,64
Normal,62
Normal,58
Normal,54
Normal,56
Normal,65
Normal,60
Normal,61
Normal,59
Normal,58
Normal,63
Normal,65
Normal,65
Normal,68
Normal,71
Normal,66
Normal,67
Normal,69
Normal,68
Normal,66
Normal,70
Normal,67
Normal,67
Normal,66
Normal,67
Normal,66
Normal,64
Normal,63
Normal,60
Normal,62
Normal,66
Normal,57
Normal,54
Normal,57
Normal,57
Normal,62
Normal,71
Normal,76
Normal,74
Normal,68
Normal,74
Normal,78
Normal,64
Normal,64
Normal,64
Normal,68
Normal,67
Normal,71
Normal,81
Normal,92
Normal,84
Normal,96
Normal,84
Normal,66
Normal,61
Normal,63
Normal,62
Normal,64
Normal,69
Normal,75
Normal,71
Normal,71
Normal,89
Normal,95
Normal,87
Normal,89
Normal,96
Normal,87
Normal,77
Normal,82
Normal,89
Normal,70
Normal,90
Normal,92
Normal,101
Normal,106
Normal,92
Normal,83
Normal,73
Normal,104
Normal,99
Normal,86
Normal,87
Normal,90
Normal,83
Normal,85
Normal,90
Normal,81
Normal,78
Normal,81
Normal,81
Normal,84
Normal,89
Normal,88
Normal,82
Normal,82
Normal,79
Normal,99
Normal,104
Normal,101
Normal,89
Normal,80
Normal,80
Normal,101
Normal,97
Normal,77
Normal,90
Normal,93
Normal,81
Normal,72
Normal,73
Normal,74
Normal,75
Normal,75
Normal,80
Normal,78
Normal,88
Normal,75
Normal,75
Normal,75
Normal,67
Normal,66
Normal,67
Normal,62
Normal,67
Normal,62
Normal,69
Normal,71
Normal,62
Normal,64
Normal,91
Normal,95
Normal,68
Normal,61
Normal,58
Normal,56
Normal,64
Normal,65
Normal,65
Normal,64
Normal,52
Normal,51
Normal,59
Normal,68
Normal,61
Normal,58
Normal,59
Normal,61
Normal,67
Normal,65
Normal,65
Normal,64
Normal,64
Normal,95
Normal,72
Normal,79
Normal,71
Normal,62
Normal,62
Normal,69
Normal,72
Normal,61
Normal,64
Normal,66
Normal,69
Normal,68
Normal,70
Normal,69
Normal,66
Normal,67
Normal,66
Normal,65
Normal,65
Normal,65
Normal,70
Normal,66
Normal,67
Normal,66
Normal,66
Normal,66
Normal,65
Normal,72
Normal,62
Normal,63
Normal,67
Normal,66
Normal,65
Normal,67
Normal,64
Normal,62
Normal,59
Normal,59
Normal,60
Normal,58
Normal,56
Normal,56
Normal,57
Normal,54
Normal,59
Normal,61
Normal,64
Normal,64
Normal,64
Normal,63
Normal,60
Normal,58
Normal,56
Normal,57
Normal,57
Normal,55
Normal,54
Normal,55
Normal,54
Normal,54
Normal,54
Normal,53
Normal,53
Normal,56
Normal,55
Normal,60
Normal,56
Normal,57
Normal,54
Normal,54
Normal,55
Normal,55
Normal,56
Normal,56
Normal,54
Normal,53
Normal,53
Normal,50
Normal,49
Normal,49
Normal,48
Normal,49
Normal,49
Normal,52
Normal,50
Normal,49
Normal,52
Normal,54
Normal,55
Normal,53
Normal,56
Normal,53
Normal,50
Normal,54
Normal,50
Normal,51
Normal,50
Normal,49
Normal,50
Normal,50
Normal,56
Normal,55
Normal,56
Normal,54
Normal,59
Normal,63
Normal,60
Normal,52
Normal,56
Normal,63
Normal,60
Normal,59
Normal,71
Normal,70
Normal,54
Normal,61
Normal,56
Normal,54
Normal,53
Normal,52
Normal,60
Normal,54
Normal,52
Normal,66
Normal,52
Normal,55
Normal,56
Normal,78
Normal,74
Normal,63
Normal,60
Normal,55
Normal,66
Normal,61
Normal,55
Normal,65
Normal,82
Normal,64
Normal,55
Normal,60
Normal,64
Normal,61
Normal,61
Normal,58
Normal,61
Normal,60
Normal,58
Normal,61
Normal,64
Normal,63
Normal,66
Normal,69
Normal,62
Normal,74
Normal,62
Normal,58
Normal,59
Normal,59
Normal,57
Normal,72
Normal,82
Normal,104
Normal,82
Normal,84
Normal,83
Normal,72
Normal,68
Normal,66
Normal,67
Normal,66
Normal,66
Normal,65
Normal,70
Normal,81
Normal,75
Normal,74
Normal,73
Normal,87
Normal,87
Normal,70
Normal,90
Normal,74
Normal,81
Normal,71
Normal,67
Normal,62
Normal,63
Normal,64
Normal,64
Normal,75
Normal,91
Normal,88
Normal,81
Normal,78
Normal,63
Normal,61
Normal,62
Normal,66
Normal,69
Normal,77
Normal,84
Normal,69
Normal,83
Normal,71
Normal,67
Normal,69
Normal,84
Normal,101
Normal,91
Normal,86
Normal,99
Normal,107
Normal,92
Normal,132
Normal,148
Normal,104
Normal,87
Normal,70
Normal,73
Normal,70
Normal,70
Normal,82
Normal,75
Normal,78
Normal,105
Normal,93
Normal,90
Normal,88
Normal,95
Normal,83
Normal,75
Normal,76
Normal,75
Normal,80
Normal,78
Normal,78
Normal,79
Normal,85
Normal,91
Normal,74
Normal,85
Normal,81
Normal,86
Normal,82
Normal,81
Normal,79
Normal,81
Normal,85
Normal,80
Normal,83
Normal,79
Normal,80
Normal,82
Normal,78
Normal,76
Normal,78
Normal,84
Normal,103
Normal,76
Normal,74
Normal,63
Normal,84
Normal,73
Normal,71
Normal,74
Normal,69
Normal,62
Normal,70
Normal,73
Normal,72
Normal,74
Normal,73
Normal,71
Normal,71
Normal,70
Normal,64
Normal,60
Normal,60
Normal,61
Normal,62
Normal,61
Normal,61
Normal,65
Normal,64
Normal,65
Normal,66
Normal,63
Normal,61
Normal,59
Normal,59
Normal,58
Normal,58
Normal,62
Normal,62
Normal,59
Normal,60
Normal,58
Normal,59
Normal,58
Normal,59
Abnormal,-2
Abnormal,-6
Abnormal,-10
Abnormal,-9
Abnormal,-9
Abnormal,-6
Abnormal,-3
Abnormal,0
Abnormal,120
Abnormal,197
Abnormal,116
Abnormal,194
Abnormal,155
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
